Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Hecho Simultaneos,Tipo de Arma,Tipo de Implicado (2),No Victimas Fatales,Combatientes,Poblacion Civil,Lesionado,Fuente,
18,5,2000,Antioquia,Granada,Cabecera Municipal, ,,Guerrilla-ELN,2,,2,,Noche y Niebla # 16 Pp. 129,
14,7,2000,Tolima,Roncesvalles,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,14,13,1,,Noche y Niebla # 17 Pp. 71,
27,7,2000,Narino,San Pablo,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,2,1,1,, Noche y Niebla # 17 Pp. 94,
29,7,2000,Caldas,Pensilvania,Corregimiento Arboleda,Bienes Civiles y Pillaje,Carro Bomba,Guerrilla-FARC,15,13,2,,Noche y Niebla # 17 Pp. 99,
5,8,2000,Choco,El Carmen de Atrato,Cabecera Municipal,Bienes Civiles y Pillaje,,Guerrilla-FARC,11,9,2,, Noche y Niebla # 17 Pp. 118,
28,8,2000,Boyaca,La Uvita,Cabecera Municipal,,,Guerrilla-FARC,1,,1,, Noche y Niebla # 17 Pp. 163,
29,8,2000,Cauca,Santander de Quilichao,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,3,1,2,, Noche y Niebla # 17 Pp. 164,
29,8,2000,Norte de Santander,Labateca,Cabecera Municipal,Bienes Civiles y Lesionado,Cilindro Bomba,Guerrilla-FARC,5,,5,4,Noche y Niebla # 17 Pp. 166,
18,9,2000,Narino,Pasto,Corregimiento El Encano,Lesionado,,Guerrilla-FARC,4,3,1,, Noche y Niebla # 17 Pp. 215,
29,10,2000,Antioquia ,San Francisco,Cabecera Municipal,,,Guerrilla-ELN,5,4,1,,Noche y Niebla # 18 Pp. 109,
8,11,2000,Valle del Cauca,Calima,Cabecera Municipal,"Bienes Civiles, Lesionado, Pillaje  y Secuestro",,Guerrilla-FARC,1,,1,,Noche y Niebla # 18 Pp. 132,
13,11,2000,Caqueta,Cartagena del Chaira,Cabecera Municipal,Lesionado,,Guerrilla-FARC,1,,1,,Noche y Niebla # 18 Pp. 141,
6--7,12,2000,Antioquia,Granada,Cabecera Municipal,"Bienes Civiles, Lesionado y Civil Muerto","Cilindros Bomba, Fusiles y Carro Bomba",Guerrilla-FARC,28,5,23,25,El Tiempo,
10,12,2000,Huila,Villavieja,Cabecera Municipal,Lesionado,,Guerrilla-FARC,2,1,1,,Noche y Niebla # 18 Pp. 189,
12,12,2000,Narino,Alban,Cabecera Municipal,Bienes Civiles,,Guerrilla-FARC,3,2,1,,Noche y Niebla # 18 Pp. 191,
12,12,2000,Narino,Buesaco,Cabecera Municipal,Bienes Civiles y Lesionado,,Guerrilla-FARC,1,,1,,Noche y Niebla # 18 Pp. 190,
12,7,2000,Huila,Colombia,Cabecera Municipal,"Bienes Civiles, Pillaje, Lesionado y Asesinato Selectivo",,Guerrilla-FARC,4,,4,2,Noche y Niebla # 17 Pp. 67,
9,1,2001,Bolivar,Zambrano,Cabecera Municipal,Bienes Civiles,Fusiles y Artefactos Explosivos,Guerrilla-FARC,,,,,Noche y Niebla # 19 Pp. 43,
8,2,2001,Risaralda,Guatica,IP Santa Ana,Bienes Civiles y Lesionado,Fusiles y Cilindro Bomba,Guerrilla-FARC,1,1,,1,Noche y Niebla # 19 Pp. 101,
