Dia,Mes,Ano,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Victimas,Fuente,
19,8,1998,Cesar,Agustin Codazzi,Cabecera Municipal-Barrio Santa Rita,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 65,
20,8,1998,Santander,Barrancabermeja,Cabecera Municipal-Barrio Villa Arelys,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 65,
23,8,1998,Sucre,Coloso,Corregimiento Chinulito,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 67-68,
24,8,1998, Antioquia,Uramita,,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 11 Pp. 115,
24,8,1998,Bolivar,Tiquisio,Quebrada Santo Domingo,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 68,
26,8,1998, Antioquia,Salgar,Vereda Clara Arriba,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 69,
26,8,1998,Caldas,Samana,Corregimiento San Diego-Vereda La Quiebra,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pp. 69,
26,8,1998, Antioquia,El Bagre,IP Puerto Lopez,Guerrilla  ,Guerrilla-ELN,1,Noche y Niebla # 9 Pp. 69,
26,8,1998,Cesar,Valledupar,Corregimiento Patillal,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 70,
27,8,1998,Cordoba,Tierralta,Resguardo Indigena Karagabi,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pp. 70,
28,8,1998,Cordoba,MonteLibano,Corregimiento Tierradentro,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Noche y Niebla # 9 Pp. 70,
28,8,1998,Bolivar,Cordoba,Cabecera Municipal,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 70,
29,8,1998, Antioquia,San Rafael,Cabecera Municipal,Guerrilla  ,Guerrilla-FARC,1,Noche y Niebla # 9 Pp. 71,
31,8,1998, Antioquia,Hispania,Empresas Gases de Hispania,Guerrilla  ,Guerrilla-ELN,1,Noche y Niebla # 9 Pp. 73,
1,9,1998, Antioquia,Dabeiba,Corregimiento San Jose de Urama,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pag. 77,
2,9,1998,Bolivar,Calamar,Corregimiento Yucal,Grupo Armado No Identificado,Grupo Armado No Identificado,3,Noche y Niebla # 9 Pp. 78,
2,9,1998, Antioquia,La Union,Sitio Alto de San Miguel,Guerrilla  ,Guerrilla-FARC,2,Noche y Niebla # 9 Pp. 77,
3,9,1998, Antioquia,Yarumal,"Via a Campamento, a la altura de la Vereda El Limon",Grupos Paramilitares,Grupos Paramilitares,1,"Noche y Niebla # 9 Pag. 78, 79",
5,9,1998, Antioquia,Dabeiba,Corregimiento San Jose de Urama,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pag. 80,
5,9,1998, Antioquia,Jerico,Veredas Zacatin y Marita,Grupos Paramilitares,Grupos Paramilitares,3,Noche y Niebla # 9 Pag. 80,
5,9,1998, Antioquia,San Luis,Vereda La Cristalina y Via a Corregimiento El Prodigio,Grupos Paramilitares,Grupos Paramilitares,3,Noche y Niebla # 9 Pag. 80,
5,9,1998,Cesar,La Jagua de Ibirico,Corregimiento La Victoria de San Isidro ,Grupos Paramilitares,Grupos Paramilitares,2,Noche y Niebla # 9 Pag. 80,
6,9,1998, Antioquia,Titiribi,Vereda El Volcan,Grupos Paramilitares,Grupos Paramilitares,1,Noche y Niebla # 9 Pag. 81,
